OTU,sampleName,OTUsize,dilution,sample,readSpikeSum,inputDNA,added.lysis.buffer.ml.,WEIGHT.g.,period,lysis.batch,aliquot,lysisBufferFrac,FSL,sample2,fittedOTUsize,fittedFSL
OTU257,HB.053.M1.S1.C,72,C,HB.053.M1.S1,36837.9444444444,0.49,12,2.4,1,3,0.6,0.05,39.6243607512182,Sample 6,-0.388343477284426,-0.491374789667259
OTU26,HB.053.M1.S1.C,110,C,HB.053.M1.S1,36837.9444444444,0.49,12,2.4,1,3,0.6,0.05,60.5372178143611,Sample 6,-0.354323552884081,-0.479404959798507
OTU267,HB.053.M1.S1.C,385,C,HB.053.M1.S1,36837.9444444444,0.49,12,2.4,1,3,0.6,0.05,211.880262350264,Sample 6,-0.391337310878716,-0.385972441168005
OTU276,HB.053.M1.S1.C,360,C,HB.053.M1.S1,36837.9444444444,0.49,12,2.4,1,3,0.6,0.05,198.121803756091,Sample 6,-0.391442997617958,-0.381816362412283
OTU28,HB.053.M1.S1.C,85,C,HB.053.M1.S1,36837.9444444444,0.49,12,2.4,1,3,0.6,0.05,46.7787592201881,Sample 6,-0.354061383726209,-0.489714632282054
OTU29,HB.053.M1.S1.C,46,C,HB.053.M1.S1,36837.9444444444,0.49,12,2.4,1,3,0.6,0.05,25.3155638132783,Sample 6,-0.352608202398923,-0.546860269339888
OTU3,HB.053.M1.S1.C,11589,C,HB.053.M1.S1,36837.9444444444,0.49,12,2.4,1,3,0.6,0.05,6377.87106591483,Sample 6,-0.386926535229945,-0.661741178643962
OTU30,HB.053.M1.S1.C,194,C,HB.053.M1.S1,36837.9444444444,0.49,12,2.4,1,3,0.6,0.05,106.765638690782,Sample 6,-0.355251878597124,-0.442899010215398
OTU306,HB.053.M1.S1.C,12,C,HB.053.M1.S1,36837.9444444444,0.49,12,2.4,1,3,0.6,0.05,6.60406012520303,Sample 6,-0.384908469518754,-0.598189390150566
OTU31,HB.053.M1.S1.C,91,C,HB.053.M1.S1,36837.9444444444,0.49,12,2.4,1,3,0.6,0.05,50.0807892827896,Sample 6,-0.35359813733905,-0.507931567369165
